Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
0,10,54.3,16.8,4,2,Major,12797,0.05,6,HWB15,B,6,3,30,180,360,14,1,5,7,7,99.99
4,30,15.9,14.4,1,11,Minor,4183,0.1,18,HWB3,B,0,1,30,180,360,36,1,6,7,6,99.99
6,50,64.2,19,4,2,Minor,12836,0.05,10,HWB15,B,5,4,30,180,360,11,1,7,8,7,99.99
7,70,187.4,13.6,4,2,Minor,4070,0.09,3,HWB1,B,0,7,30,180,360,42,1,6,6,7,99.99
13,130,46,13.3,6,2,Minor,12000,0.18,10,HWB22,B,20,3,30,180,360,19,1,7,8,7,99.99
14,140,166.1,19.8,6,2,Major,32000,0.05,16,HWB1,B,20,7,30,180,360,24,1,7,8,7,99.99
15,160,16.8,14.3,3,2,Major,12905,0.05,10,HWB3,B,0,1,30,180,360,33,1,7,7,7,99.99
17,180,29.2,14.2,6,6,Minor,12492,0.1,8,HWB22,B,20,3,30,180,360,36,1,7,6,7,99.99
18,190,83.7,11.1,4,2,Minor,9416,0.1,5,HWB15,B,30,4,30,180,360,33,1,6,7,7,99.99
19,210,40.7,17.1,4,2,Minor,10690,0.05,14,HWB15,B,0,2,30,180,360,3,1,7,7,7,99.99
20,225,30.9,14.2,2,1,Minor,3430,0.1,8,HWB10,B,13,3,30,180,360,25,1,7,7,7,99.99
21,230,47.7,14.4,4,2,Minor,2315,0.1,3,HWB15,B,15,3,30,180,360,44,1,6,6,7,99.99
23,260,33.2,13.1,2,1,Minor,2355,0.1,5,HWB10,B,0,3,30,180,360,31,1,7,7,7,99.99
24,270,54.2,14.2,6,2,Minor,2355,0.1,2,HWB22,B,0,3,30,180,360,39,1,7,7,7,99.99
26,290,22.6,13.5,2,1,Minor,2256,0.1,6,HWB10,B,10,3,30,180,360,28,1,7,7,7,99.99
27,300,125.3,8.8,3,10,Minor,1340,0.1,13,HWB12,B,0,2,30,180,360,12,1,8,5,6,4.47
30,320,11.7,18.3,2,1,Minor,9464,0.25,6,HWB10,B,42,3,30,180,360,44,1,6,6,6,99.99
31,330,23.6,14.2,2,1,Minor,4001,0.28,6,HWB10,B,0,3,30,180,360,42,1,6,6,6,99.99
33,340,32.5,14.2,2,1,Minor,4914,0.28,8,HWB10,B,30,3,30,180,360,35,1,5,5,5,99.99
35,360,12.3,14.2,5,2,Minor,3434,0.24,8,HWB3,B,45,1,30,180,360,16,1,6,7,6,99.99
36,370,22.3,14.4,2,1,Minor,4487,0.21,5,HWB10,B,20,3,30,180,360,5,1,7,7,8,99.99
38,380,91.7,17.3,1,11,Major,42261,0.05,8,HWB5,B,15,4,30,180,360,15,1,6,5,6,99.99
39,390,34.1,17.9,2,1,Minor,12391,0.06,8,HWB10,B,30,3,30,180,360,12,1,6,6,7,99.99
40,400,21.9,14.2,2,1,Minor,16432,0.05,6,HWB10,B,15,3,30,180,360,4,1,7,6,7,99.99
41,425,58.5,26.7,4,2,Minor,22526,0.07,13,HWB15,B,0,2,30,180,360,30,1,7,7,7,99.99
